2026-07-28 06:09:31 - Session: {"_csrf":"UHUbngHY1KijaZFO5w6UL6ntpeBIaZ-t","user_id":"8","username":"superadmin","role":"super_admin","nama_lengkap":"System Super Admin","instansi_id":null,"nama_instansi":"Global System","def_kepengurusan":"","def_pondok":"","permissions":["action_edit_santri","menu_anggota_kamar","menu_audit_log","menu_auto_rekap","menu_inaktif_data","menu_job_desk","menu_manajemen_instansi","menu_manajemen_pengguna","menu_master_data","menu_master_print","menu_pemberkasan","menu_pengaturan_jobdesk","menu_pengaturan_sistem","menu_profil_instansi","menu_surat_generator","action_edit_santri_edit","menu_anggota_kamar_edit","menu_audit_log_edit","menu_auto_rekap_edit","menu_inaktif_data_edit","menu_job_desk_edit","menu_manajemen_instansi_edit","menu_manajemen_pengguna_edit","menu_master_data_edit","menu_master_print_edit","menu_pemberkasan_edit","menu_pengaturan_jobdesk_edit","menu_pengaturan_sistem_edit","menu_profil_instansi_edit","menu_surat_generator_edit"]}
2026-07-28 06:09:36 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i"}
2026-07-28 06:09:52 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"]}
2026-07-28 06:24:51 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785211792}
2026-07-28 06:44:41 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785212691}
2026-07-28 06:57:11 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785213881}
2026-07-28 06:59:14 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214631}
2026-07-28 06:59:17 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214754}
2026-07-28 06:59:19 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214754}
2026-07-28 06:59:39 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214759}
2026-07-28 06:59:42 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214779}
2026-07-28 06:59:42 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214779}
2026-07-28 06:59:44 - Session: {"_csrf":"47WA-NCwYK6JYwKeznMzSRtIYAhVBO3i","user_id":"7","username":"adming5","role":"admin_instansi","nama_lengkap":"AdminG5","instansi_id":"6","nama_instansi":"Pembimbing Luar Negeri G5","def_kepengurusan":"Magelang","def_pondok":"G5","permissions":["menu_auto_rekap","menu_auto_rekap_edit","menu_job_desk","menu_job_desk_edit","menu_pemberkasan","menu_pemberkasan_edit","menu_master_data","menu_master_data_edit","menu_inaktif_data","menu_inaktif_data_edit","action_edit_santri","action_edit_santri_edit","menu_surat_generator","menu_surat_generator_edit","menu_pengaturan_jobdesk","menu_pengaturan_jobdesk_edit","menu_profil_instansi","menu_profil_instansi_edit","menu_anggota_kamar","menu_anggota_kamar_edit","menu_manajemen_instansi","menu_manajemen_instansi_edit","menu_manajemen_pengguna","menu_manajemen_pengguna_edit","menu_pengaturan_sistem","menu_pengaturan_sistem_edit","menu_audit_log","menu_audit_log_edit","menu_master_print","menu_master_print_edit","menu_anggaran","menu_anggaran_edit","menu_op_birokrasi","menu_op_birokrasi_edit","menu_capel","menu_capel_edit","menu_cetak_berkas","menu_cetak_berkas_edit","menu_manajemen_paspor","menu_manajemen_paspor_edit","jobdesk_pengeluaran","jobdesk_pengeluaran_edit"],"last_online_ping":1785214779}
